IndexPlanningHorizon,IndexBranchingNode,Iteration,LBfrac,UBfrac,GAPfrac,IntFound,LBint,UBint,GAPint,MSecondsMP,MSecondsPP,MSecondsAUXCG,MSecondsStrongBranching,MPSizeConstraints,MPSizeVariables,ColumnsAdded,PPNetworkConstructionTime,PPNetworkSizeNodes,PPNetworkSizeArcs,LazyConstraintAdded,BranchType,IndexParentBranchingNode,MSecondsFilterMPVars,MSecondsFilterPPNodes,VehicleID,TripID,MaintenanceID,FracValue,BranchValue
11,1,0,-1.79769e+308,340000,5.28733e+302,1,-1.79769e+308,340000,5.28733e+302,0,0,0,0,27,26,0,0,0,0,,,,,,,,,,
11,1,1,-130581,43546.2,3.99867,1,-130581,43546.2,3.99867,0,0,0,0,27,65,39,0,21,57,,,,,,,,,,
11,1,2,41671.4,43472.9,0.0414394,1,41671.4,43472.9,0.0414394,0,0,0,0,27,71,6,0,24,67,,,,,,,,,,
11,1,3,43472.9,43472.9,0,0,43472.9,43472.9,0,0,0,0,0,27,71,0,0,24,65,,,,,,,,,,
12,1,0,-1.79769e+308,220000,8.17133e+302,1,-1.79769e+308,220000,8.17133e+302,0,0,0,0,21,20,0,0,0,0,,,,,,,,,,
12,1,1,-132882,38909.6,4.41515,1,-132882,38909.6,4.41515,0,0,0,0,21,36,16,0,18,42,,,,,,,,,,
12,1,2,29111.4,38836.3,0.250407,1,29111.4,38836.3,0.250407,0,0,0,0,21,56,20,0,18,60,,,,,,,,,,
12,1,3,34711.8,38836.3,0.106201,0,34711.8,38836.3,0.106201,0,0,0,0,21,61,5,0,18,46,,,,,,,,,,
12,1,4,37668.9,38836.3,0.0300593,0,37668.9,38836.3,0.0300593,0,0,0,0,21,64,3,0,18,54,,,,,,,,,,
12,1,5,38836.3,38836.3,0,0,38836.3,38836.3,0,0,0,0,0,21,64,0,0,18,46,,,,,,,,,,
13,1,0,-1.79769e+308,140000,1.28407e+303,1,-1.79769e+308,140000,1.28407e+303,0,0,0,0,17,16,0,0,0,0,,,,,,,,,,
13,1,1,-55798.5,37666.9,2.48137,1,-55798.5,37666.9,2.48137,0,0,0,0,17,24,8,0,14,26,,,,,,,,,,
13,1,2,26644.8,36791.4,0.275788,1,26644.8,36791.4,0.275788,0,0,0,0,17,29,5,0,14,30,,,,,,,,,,
13,1,3,31864.7,36791.4,0.133908,0,31864.7,36791.4,0.133908,0,0,0,0,17,32,3,0,14,26,,,,,,,,,,
13,1,4,36791.4,36791.4,0,0,36791.4,36791.4,0,0,0,0,0,17,32,0,0,14,26,,,,,,,,,,
